date,user_id,event_name,mobile_os_type,version
12/30/2019,e3d0c2dc222d6f1e559091dfdd43cbc3,push_received,U683CL,11.3.1
12/30/2019,4cb9c9a7d049fded9b22b35ac89c4aec,push_received,U683CL,11.3.1
12/30/2019,66f8f380b5a47857b2823ffa9803cc55,push_received,L51,11.3.1
12/31/2019,f209b2aa8bb74409dfca846c832bfe28,push_received,L51,11.3.1
12/30/2019,8af969a720564efc0354429111678c8a,push_clicked,U683CL,11.3.1
12/31/2019,ed1e7ccc0a6b187b907ed5f5702fbfb1,push_received,L51,11.3.0
12/30/2019,739238b2d96779a31ac1ec81c23346d8,push_received,U683CL,11.3.1
12/30/2019,85619ab51b2b85cc896c96a044390dcd,push_received,L51,11.3.1
12/30/2019,df0b1953644c9e7e7a46e1b3dae16077,push_received,U683CL,11.3.1
12/31/2019,f499dae1627de2429158a190f88543a9,push_received,U683CL,11.3.1
12/30/2019,29248aa87fcdd55f4c597ea5595a3c8f,push_received,U683CL,11.3.1
12/31/2019,2d4b1abaf86fab3d7a836f6dfdffc3e7,user_engagement,U683CL,11.3.1
12/30/2019,80d2bf37c00fc8ff28cbf3825d5a16d5,push_received,L51,11.3.1
12/31/2019,be8d2654263771db2e961ea822d2b823,push_received,L51,11.3.1
12/30/2019,f5579678e79e024ae92d4202ea3daa6d,push_received,L51,11.3.1
12/30/2019,a2a09a8d8cb7094bff1baf14cd135425,push_received,U683CL,11.3.1
12/31/2019,9f1ac975c721ac67d03b670d40513bfc,push_received,L51,11.3.1
12/31/2019,40301f19ee23240c15bf01b52f7307b4,push_received,U683CL,11.3.1
12/30/2019,43c69d727ae06e3056306dbacc5551bf,push_received,L51,11.3.1
12/30/2019,7e9c5666aa0466d23449323af801cfd8,push_received,U683CL,11.3.1
12/31/2019,b924b214cc74316281367e9da4c6c424,push_received,U683CL,11.3.1
12/31/2019,1d250c786ebd818849cd01d02279438c,push_received,L51,11.3.0
12/30/2019,3baf92afc2378703e369dc0a27cdf474,push_received,U683CL,11.3.1
12/31/2019,217f2c7cbc58bbfeb057438bbee7efc9,push_received,U683CL,11.3.1
